epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,634.447,4.16434,0.3448,0.63267,2.82905,0.067002,0.000333313,0.000333313
2,1140.16,3.03591,0.50673,0.77203,1.97331,0.0340002,0.000664838,0.000664838
3,1594.87,2.51294,0.58282,0.82767,1.63825,0.000991225,0.000989163,0.000989163
4,1943.24,2.20656,0.63104,0.85752,1.45449,0.000975773,0.000975773,0.000975773
5,2293.66,2.02633,0.65307,0.8698,1.36417,0.000957205,0.000957205,0.000957205
6,2635.01,1.90206,0.66856,0.87916,1.30362,0.000933683,0.000933683,0.000933683
7,2970.92,1.81952,0.67886,0.88525,1.2653,0.000905463,0.000905463,0.000905463
8,3302.1,1.75271,0.68678,0.88941,1.2398,0.000872857,0.000872857,0.000872857
9,3633.84,1.69087,0.69139,0.89203,1.22003,0.00083622,0.00083622,0.00083622
10,3965.39,1.64239,0.6953,0.89525,1.20308,0.000795954,0.000795954,0.000795954
11,4292.96,1.60552,0.69881,0.89748,1.18793,0.0007525,0.0007525,0.0007525
12,4622.72,1.56686,0.70208,0.89946,1.17485,0.000706335,0.000706335,0.000706335
13,4953.08,1.53344,0.70495,0.90129,1.16333,0.000657963,0.000657963,0.000657963
14,5285.57,1.49944,0.70743,0.90233,1.15186,0.000607916,0.000607916,0.000607916
15,5621.11,1.47504,0.7098,0.90351,1.14078,0.000556742,0.000556742,0.000556742
16,5958.75,1.45454,0.71193,0.90446,1.13048,0.000505,0.000505,0.000505
17,6285.58,1.42383,0.7148,0.90554,1.12024,0.000453258,0.000453258,0.000453258
18,6609.73,1.40966,0.71698,0.90723,1.11059,0.000402084,0.000402084,0.000402084
19,6972.39,1.39937,0.7197,0.90807,1.10141,0.000352037,0.000352037,0.000352037
20,7299.3,1.38295,0.72218,0.90965,1.09346,0.000303665,0.000303665,0.000303665
21,7685.01,1.3663,0.72431,0.91054,1.08618,0.0002575,0.0002575,0.0002575
22,8010.09,1.35674,0.72649,0.91109,1.07884,0.000214046,0.000214046,0.000214046
23,8321.97,1.33901,0.72842,0.91193,1.07266,0.00017378,0.00017378,0.00017378
24,8621.82,1.33782,0.73015,0.91267,1.0667,0.000137143,0.000137143,0.000137143
25,8928.46,1.32451,0.73124,0.91347,1.06115,0.000104537,0.000104537,0.000104537
26,9237.79,1.3231,0.73213,0.91401,1.05639,7.63174e-05,7.63174e-05,7.63174e-05
27,9545.45,1.31927,0.73302,0.9147,1.05226,5.2795e-05,5.2795e-05,5.2795e-05
28,9855.21,1.31923,0.73396,0.9151,1.04891,3.4227e-05,3.4227e-05,3.4227e-05
29,10162.9,1.31509,0.7348,0.9153,1.0459,2.08169e-05,2.08169e-05,2.08169e-05
30,10466.3,1.31058,0.73564,0.9151,1.04319,1.27117e-05,1.27117e-05,1.27117e-05
