epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,468.408,4.043,0.40983,0.70346,2.50366,0.0670017,0.000333316,0.000333316
2,906.085,2.74193,0.57579,0.8261,1.67006,0.0339999,0.000664842,0.000664842
3,1337.63,2.20895,0.64536,0.86985,1.37384,0.000990885,0.000989166,0.000989166
4,1814.68,1.90066,0.69015,0.8957,1.20215,0.000975773,0.000975773,0.000975773
5,2404.39,1.71439,0.71493,0.90695,1.10988,0.000957205,0.000957205,0.000957205
6,2852.71,1.59442,0.73066,0.91484,1.05175,0.000933683,0.000933683,0.000933683
7,3281.4,1.50244,0.74088,0.91998,1.0103,0.000905463,0.000905463,0.000905463
8,3701.77,1.43019,0.749,0.9235,0.97712,0.000872857,0.000872857,0.000872857
9,4126.54,1.37197,0.75642,0.92666,0.94824,0.00083622,0.00083622,0.00083622
10,4540.61,1.32595,0.76313,0.92969,0.92204,0.000795954,0.000795954,0.000795954
11,4961.4,1.27702,0.76893,0.93334,0.89699,0.0007525,0.0007525,0.0007525
12,5383.84,1.2338,0.77462,0.93609,0.87275,0.000706335,0.000706335,0.000706335
13,5835.66,1.20443,0.78034,0.93887,0.8493,0.000657963,0.000657963,0.000657963
14,6418.73,1.17207,0.78562,0.94151,0.82749,0.000607916,0.000607916,0.000607916
15,6917.02,1.14381,0.79033,0.94385,0.80755,0.000556742,0.000556742,0.000556742
16,7388.04,1.12536,0.79525,0.94544,0.78838,0.000505,0.000505,0.000505
17,7886.86,1.10302,0.79948,0.94698,0.77037,0.000453258,0.000453258,0.000453258
18,8352.62,1.07811,0.80361,0.94861,0.75351,0.000402084,0.000402084,0.000402084
19,8773.85,1.0676,0.80718,0.95023,0.7378,0.000352037,0.000352037,0.000352037
20,9190.61,1.05078,0.81067,0.95166,0.72378,0.000303665,0.000303665,0.000303665
21,9664.6,1.03114,0.81342,0.95276,0.71087,0.0002575,0.0002575,0.0002575
22,10084.8,1.01908,0.81667,0.95397,0.69912,0.000214046,0.000214046,0.000214046
23,10505.9,1.0073,0.81978,0.95515,0.68831,0.00017378,0.00017378,0.00017378
24,10927.9,1.00587,0.82266,0.95592,0.67906,0.000137143,0.000137143,0.000137143
25,11351.3,0.98849,0.82544,0.95644,0.67049,0.000104537,0.000104537,0.000104537
26,11774.8,0.98902,0.82745,0.95691,0.66307,7.63174e-05,7.63174e-05,7.63174e-05
27,12191.4,0.98526,0.82924,0.95735,0.65629,5.2795e-05,5.2795e-05,5.2795e-05
28,12612.3,0.97893,0.83064,0.9576,0.65024,3.4227e-05,3.4227e-05,3.4227e-05
29,13034.4,0.97486,0.83204,0.95826,0.64539,2.08169e-05,2.08169e-05,2.08169e-05
30,13456.4,0.97288,0.83314,0.95889,0.6412,1.27117e-05,1.27117e-05,1.27117e-05
